#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Streptococcus acidominimus","Bacteria;Terrabacteria group;Firmicutes","NCTC11291","SAMEA4504048","PRJEB6403","GCA_900187245.1","Complete",2.33081,39.9,"chromosome 1:NZ_LT906454.1/LT906454.1",,1,2043,"2017-08-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/245/GCA_900187245.1_51470_D02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/245/GCF_900187245.1_51470_D02"
"Streptococcus acidominimus","Bacteria;Terrabacteria group;Firmicutes","6_8CXCR23O2_S6","SAMN16540180","PRJNA671681","GCA_015235565.1","Scaffold",2.47117,42.5,,"JADGLR01",497,2142,"2020-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/235/565/GCA_015235565.1_ASM1523556v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/235/565/GCF_015235565.1_ASM1523556v1"
"Streptococcus himalayensis","Bacteria;Terrabacteria group;Firmicutes","HTS2","SAMN05560386","PRJNA338655","GCA_001708305.1","Complete",2.27547,41.3,"chromosome:NZ_CP016953.1/CP016953.1",,1,2019,"2016-08-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/305/GCA_001708305.1_ASM170830v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/708/305/GCF_001708305.1_ASM170830v1"
"Streptococcus himalayensis","Bacteria;Terrabacteria group;Firmicutes","CGMCC 1.15533","SAMD00245075","PRJDB10509","GCA_014643475.1","Scaffold",2.15158,41.1,,"BMJN01",84,1959,"2020-09-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/643/475/GCA_014643475.1_ASM1464347v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/643/475/GCF_014643475.1_ASM1464347v1"
"Streptococcus ilei","Bacteria;Terrabacteria group;Firmicutes","OM06-9","SAMN09736829","PRJNA482748","GCA_003438245.1","Scaffold",1.96587,42.1,,"QSTR01",8,1780,"2018-08-31T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/438/245/GCA_003438245.1_ASM343824v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/438/245/GCF_003438245.1_ASM343824v1"
"Streptococcus ilei","Bacteria;Terrabacteria group;Firmicutes","I-G2","SAMN02299294","PRJNA214027","GCA_000479335.1","Complete",1.99257,42.1,"chromosome:NC_022584.1/CP006805.1",,1,1794,"2013-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/479/335/GCA_000479335.1_ASM47933v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/335/GCF_000479335.1_ASM47933v1"
"Streptococcus ilei","Bacteria;Terrabacteria group;Firmicutes","","SAMN02343234","PRJNA214028","GCA_000479315.1","Complete",2.02358,42.1,"chromosome:NC_022582.1/CP006776.1",,1,1823,"2013-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/479/315/GCA_000479315.1_ASM47931v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/315/GCF_000479315.1_ASM47931v1"
"Streptococcus lutetiensis","Bacteria;Terrabacteria group;Firmicutes","NCTC13774","SAMEA3905384","PRJEB6403","GCA_900475675.1","Complete",1.79352,37.7,"chromosome 1:NZ_LS483403.1/LS483403.1",,1,1571,"2018-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/675/GCA_900475675.1_45473_D02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/675/GCF_900475675.1_45473_D02"
"Streptococcus lutetiensis","Bacteria;Terrabacteria group;Firmicutes","FDAARGOS_1158","SAMN16357327","PRJNA231221","GCA_016725165.1","Complete",1.79352,37.7,"chromosome:NZ_CP068056.1/CP068056.1",,1,1569,"2021-01-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/725/165/GCA_016725165.1_ASM1672516v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/725/165/GCF_016725165.1_ASM1672516v1"
"Streptococcus lutetiensis","Bacteria;Terrabacteria group;Firmicutes","NCTC8738","SAMEA3643305","PRJEB6403","GCA_900475065.1","Complete",1.96658,37.7,"chromosome 1:NZ_LS483348.1/LS483348.1",,1,1750,"2018-06-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/065/GCA_900475065.1_42545_C02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/065/GCF_900475065.1_42545_C02"
